epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.27696,2.43323,4.59141,1.8778,0.00333,1,0.29823,0.10522,1.15993,3.24153,1.17973,0.00014,0.00014,0.00014
2,8.96864,2.18249,4.43589,1.70726,0.00333,1,0.3991,0.14133,1.29624,3.13564,1.30399,0.00029406,0.00029406,0.00029406
3,10.4743,2.02216,3.463,1.70956,0.00333,1,0.69352,0.31649,1.22531,3.02701,1.30795,0.000441784,0.000441784,0.000441784
4,11.9408,1.80629,3.0936,1.55416,0.00333,1,0.62218,0.29285,1.21082,3.22771,1.30679,0.000583172,0.000583172,0.000583172
5,13.3607,1.67548,2.50797,1.34069,0.00306,0.91667,0.3564,0.17048,1.39419,3.34194,1.40731,0.000718224,0.000718224,0.000718224
6,14.7634,1.66438,2.4165,1.37825,0.00278,0.83333,0.25687,0.08039,1.67344,3.46479,1.87894,0.00084694,0.00084694,0.00084694
7,16.1638,1.54545,2.40865,1.29981,0.00306,0.91667,0.40717,0.18504,1.41894,3.23414,1.52607,0.00096932,0.00096932,0.00096932
8,17.541,1.6004,2.12419,1.35326,0.00306,0.91667,0.33121,0.14473,1.48425,3.31091,1.47602,0.00108536,0.00108536,0.00108536
9,19.0343,1.5628,2.11658,1.31315,0.37634,0.33333,0.32726,0.09161,1.56261,3.17993,1.67066,0.00119507,0.00119507,0.00119507
10,20.4722,1.55731,2.25617,1.27987,0.27855,0.08333,0.16062,0.05174,1.59048,3.19882,1.76436,0.00129844,0.00129844,0.00129844
11,22.5145,1.59587,1.96507,1.21472,0.00278,0.83333,0.0425,0.01659,1.69227,3.17666,1.82493,0.00139548,0.00139548,0.00139548
12,23.9411,1.61881,2.24074,1.28305,0.01698,0.83333,0.23022,0.12524,1.48091,2.90869,1.71713,0.00148618,0.00148618,0.00148618
13,25.3255,1.5135,1.94411,1.31616,0.04218,0.08333,0.11748,0.05939,1.53326,2.91813,1.83057,0.0015248,0.0015248,0.0015248
14,26.743,1.50001,2.01839,1.28164,1,0.79307,0.83605,0.42732,1.66287,2.33871,1.87809,0.0014852,0.0014852,0.0014852
15,28.1641,1.52089,2.02284,1.28204,1,0.72887,0.83505,0.47795,1.77143,2.12293,1.90584,0.0014456,0.0014456,0.0014456
