epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.74925,2.15163,4.55792,1.78225,0.00333,1,0.41776,0.11211,1.21529,3.29701,1.21136,0.00018,0.00018,0.00018
2,11.5641,2.25393,4.25823,1.83606,0.00333,1,0.79669,0.16315,1.45909,3.31501,1.401,0.000372476,0.000372476,0.000372476
3,13.4168,1.72506,2.81288,1.42788,0.00333,1,0.32643,0.10584,1.47817,3.35917,1.48034,0.000557032,0.000557032,0.000557032
4,14.9323,1.63094,2.53822,1.34525,0.00333,1,0.62297,0.30588,1.55758,3.28082,1.4296,0.000733668,0.000733668,0.000733668
5,16.4711,1.7703,2.81489,1.41972,0.00278,0.83333,0.42037,0.22801,1.47729,3.38295,1.55435,0.000902384,0.000902384,0.000902384
6,18.0094,1.69683,2.35527,1.41389,0.00278,0.83333,0.19688,0.04689,1.3662,3.29644,1.64154,0.00106318,0.00106318,0.00106318
7,19.5032,1.54242,2.28026,1.37747,0.00658,0.91667,0.73235,0.28081,1.53497,3.03205,1.68229,0.00121606,0.00121606,0.00121606
8,21.0137,1.59127,2.31802,1.35731,0.51306,0.79137,0.74547,0.35561,1.59142,2.74363,1.81583,0.00136101,0.00136101,0.00136101
9,22.5401,1.61739,2.0539,1.37225,0.42252,0.91667,0.80612,0.39692,1.73314,2.50541,2.02287,0.00149805,0.00149805,0.00149805
10,24.1458,1.59287,2.17104,1.35026,0.82074,0.76409,0.86433,0.37931,1.77879,2.26868,2.01871,0.00162716,0.00162716,0.00162716
11,25.6175,1.45237,2.01239,1.31139,0.9599,0.83333,0.86829,0.27246,2.07173,2.19757,2.14395,0.001604,0.001604,0.001604
12,27.1296,1.6831,2.29028,1.37048,0.63818,0.66667,0.75148,0.29295,2.10304,2.30058,2.03132,0.0015644,0.0015644,0.0015644
13,28.613,1.61491,2.10486,1.33379,0.45201,0.75,0.47151,0.20389,1.962,2.29708,1.95373,0.0015248,0.0015248,0.0015248
14,30.2024,1.75204,2.2273,1.45317,0.42128,0.66667,0.41043,0.1652,1.95391,2.37508,2.00094,0.0014852,0.0014852,0.0014852
15,32.3745,1.59765,1.93981,1.40198,0.82745,0.80096,0.80605,0.27464,2.00116,2.63623,2.0979,0.0014456,0.0014456,0.0014456
16,33.9434,1.51769,1.77114,1.29389,0.69638,0.66667,0.70138,0.30808,1.9902,2.34344,2.07567,0.001406,0.001406,0.001406
17,35.4073,1.48507,1.97215,1.27807,0.69638,0.66667,0.70138,0.30808,1.9902,2.34344,2.07567,0.0013664,0.0013664,0.0013664
18,36.9451,1.40057,1.70924,1.22865,0.63911,0.73865,0.62217,0.25351,2.02485,2.22225,2.04579,0.0013268,0.0013268,0.0013268
19,38.3884,1.45684,1.55153,1.24245,0.57518,0.66667,0.6232,0.28084,1.98851,2.10356,2.12173,0.0012872,0.0012872,0.0012872
